DoctorID,FirstName,LastName,Specialization,Phone,Email,HireDate,Salary
1,Rafael,Diaz,Orthopedics,5316985187,dr_albert37@hospital.com,2021-02-07,223349
2,Susan,Johnson,Orthopedics,5574431052,dr_jimmy62@hospital.com,2010-06-02,234660
3,Justin,Brainard,Neurology,0879300280,dr_charles2@hospital.com,2012-05-05,215995
4,William,Witt,Cardiology,3323168689,dr_cynthia50@hospital.com,2000-04-06,155333
5,Henry,Shelton,Neurology,0085293542,dr_elizabeth55@hospital.com,20th Jan 2020,249072
6,Samantha,Vela,Neurology,8321628749,dr_jessica90@hospital.com,2001-08-02,164798
7,Lucy,Bolton,Cardiology,7548265951,dr_patricia28@hospital.com,2015-09-18,150465
8,Jean,Tinkler,Dermatology,5400308146,dr_alma97@hospital.com,2018-05-27,198768
9,Terry,Ream,Dermatology,2505288152,dr_manuel4@hospital.com,2016-08-19,153273
10,Bernard,Stout,Orthopedics,8003873007,dr_john53@hospital.com,2007-11-10,228971
11,Tabatha,Baez,Orthopedics,4706152025,dr_terry38@hospital.com,2003-02-14,177491
12,Linda,Torres,Dermatology,5818247376,dr_karen22@hospital.com,2005-03-26,197900
13,Mary,Holahan,Pediatrics,2323448734,dr_scottie74@hospital.com,2000-10-16,215774
14,Brian,Rothery,Orthopedics,0430002376,dr_alice66@hospital.com,2019-03-02,190645
15,Judson,Hetz,Dermatology,9257847469,dr_jorge53@hospital.com,2003-01-24,151233
16,Joyce,Padilla,Neurology,4592168046,dr_denise46@hospital.com,2019-07-31,167442
17,Margaret,Mcgregor,Pediatrics,8797355362,dr_ben99@hospital.com,2019-10-20,193600
18,Calvin,Mcdonnell,Dermatology,0195780738,dr_sandra77@hospital.com,2020-03-18,155284
19,Roger,Giddins,Neurology,5473818601,dr_jake69@hospital.com,2016-07-30,171644
20,Charles,Claybrook,Orthopedics,7058846565,dr_mary75@hospital.com,2021-08-27,227022
21,William,Allen,Cardiology,567,dr_gregory50@hospital.com,2014-05-28,155598
22,Nora,Williams,Cardiology,2246056818,dr_wanda51@hospital.com,2011-09-16,246723
23,Wilburn,Hansen,Orthopedics,1273925071,dr_michelle31@hospital.com,2019-02-06,163412
24,Dwayne,Stephens,Orthopedics,0283133746,dr_michael72@hospital.com,2010-03-01,155775
25,Paula,Rhynes,Orthopedics,7231120276,dr_jesus41@hospital.com,01-2021,170251
26,Nadine,Trongone,Pediatrics,0822301512,dr_lawrence92@hospital.com,2015-09-12,232082
27,Willie,Glover,Cardiology,2328950096,dr_regina82@hospital.com,2010-01-06,212399
28,Anna,Miller,Cardiology,1418661091,dr_lois20@hospital.com,2004-07-28,174577
29,Raymond,Thomas,Orthopedics,3108305774,dr_kathleen95@hospital.com,2020-03-11,213736
30,Avis,Mccandless,Cardiology,1104413718,dr_sarah27@hospital.com,2002-11-13,196353
31,Michelle,Gwin,Dermatology,1256512202,dr_susana66@hospital.com,01-2021,225970
32,Dorothy,Bouie,Neurology,2139198386,dr_robert12@hospital.com,2013-07-17,179083
33,Joyce,Rickley,Pediatrics,,dr_lydia52@hospital.com,2019-10-13,188377
34,Timothy,Nugent,Orthopedics,6537465219,dr_kenia60@hospital.com,2021-11-12,161300
35,Harriet,Madden,Neurology,4730439632,dr_eric98@hospital.com,2008-01-14,186251
36,Francis,Harris,Cardiology,5877953873,dr_eunice26@hospital.com,2010-01-27,181094
37,Chiquita,Ramos,Pediatrics,5573553524,dr_eddie41@hospital.com,2001-06-24,170171
38,Lois,Moskovitz,Orthopedics,0069980708,dr_june57@hospital.com,2007-04-16,222039
39,Jason,Frederickson,Neurology,1506489441,dr_vickie69@hospital.com,01-2021,200772
40,Charles,Pharris,Neurology,5809110893,dr_timothy31@hospital.com,2000-05-06,173699
41,Tammie,Hausman,Cardiology,9877855188,dr_monica10@hospital.com,2006-08-21,185022
42,Frank,Hill,Dermatology,6899374054,dr_millie43@hospital.com,2007-06-20,247674
43,Robin,Wilson,Orthopedics,9110890701,dr_jose97@hospital.com,2018-09-22,174577
44,Donald,Ayala,Neurology,4293458896,dr_donald14@hospital.com,2001-07-02,249939
45,Ali,Cook,Orthopedics,6839604803,dr_sylvia88@hospital.com,01-2021,233482
46,Hazel,Wright,Cardiology,9866524764,dr_paul17@hospital.com,2000-09-08,191584
47,Juliette,Link,Cardiology,0349409832,dr_lise36@hospital.com,2010-02-09,207918
48,Deanna,Vasquez,Orthopedics,7997649689,dr_sherry44@hospital.com,2017-12-26,225820
49,Anita,Roseberry,Dermatology,0186792737,dr_cory36@hospital.com,2020-02-20,153994
50,Steve,Romanowski,Dermatology,8270910701,dr_william55@hospital.com,2020-11-18,194364
