PatientID,FirstName,LastName,DOB,Gender,Phone,Email,Address,City,State,ZipCode,IsVIP
1,Laura,Anderson,1999-07-05,F,2089965910,oh11@hotmail.com,581 Tbetaypb St,New York,TX,57721,0
2,Myrna,Telfer,1995-06-02,M,2666533777,pa34@yahoo.com,30 Zfzlcwrq St,New York,CA,61721,1
3,Milton,Vega,1995-11-25,F,4658946750,tl2@gmail.com,969 Myqkdgrg St,New York,IL,76635,1
4,David,Perez,1996-04-02,F,6860044952,ue96@yahoo.com,683 Llbatmna St,Houston,TX,59635,0
5,Benjamin,Feliciano,1998-02-21,F,9692282503,ot42@yahoo.com,494 Kvbjrjnu St,Boston,NY,21898,1
6,Karen,Hernandez,1973-06-23,F,,lb66@yahoo.com,149 Wotrufic St,Chicago,NY,21323,0
7,Ann,Westbrook,1976-04-06,F,8647944787,bx93@yahoo.com,397 Lxcpkgts St,San Diego,CA,71737,1
8,Joan,Clute,1960-09-24,M,6513932691,xr87@yahoo.com,,New York,TX,99653,1
9,Ernest,Bickford,1962-04-24,F,8369245604,xw78@hotmail.com,970 Awrlycpx St,Chicago,NY,28358,0
10,Eddie,Wheatley,1988-03-26,M,7847266756,eg6@hotmail.com,,,NY,21919,0
11,Willie,Merritt,1961-05-25,F,6515190786,ge53@gmail.com,236 Crczmrlb St,Boston,MA,58071,0
12,Inez,Schutt,1997-09-20,F,7739411411,to88@yahoo.com,320 Zbafryah St,Chicago,MA,73662,1
13,Dawn,Spicher,1993-09-09,M,4004163179,it8@gmail.com,915 Avfvmtpq St,Houston,MA,23896,1
14,Sharla,Batiste,1960-07-21,F,0901713926,fd95@hotmail.com,14 Tmafvmet St,,MA,21931,1
15,David,Conkling,1966-04-01,M,123,xm93@gmail.com,,Chicago,NY,97806,0
16,David,Dahl,1987-06-20,M,9087440298,rl53@gmail.com,831 Fifpazhf St,New York,NY,66231,1
17,John,Gallon,1990-05-07,F,3440904454,pe96@gmail.com,825 Knkronzm St,San Diego,TX,85867,0
18,Donna,Lampman,1966-11-18,M,,iq1@yahoo.com,351 Szrzbtmn St,Chicago,TX,77425,0
